"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","ddt0(epsilon)","ddt0(k)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","epsilon","k","nut","p","p_rgh","total(p)"
0.00026504,-0.16474,0.98634,-0.72553,-1.973,0.019919,0.012725,-0.71105,-0.098089,0.5,0.00020049,-1.3547e-05,0.15556,0.08379,0.023358,0.00031156,6.3802e-05,4.3797e-05,0.061107,0.026698,0.0016175,42.821,108.56,167.05
-0.00020814,-0.17195,0.98511,-0.72553,-1.9417,0.025872,0.012933,-0.61092,-0.060997,0.5,8.2491e-06,-5.6396e-05,0.1638,0.095193,0.031002,0.00033266,8.8449e-05,4.7372e-05,0.021303,0.01928,0.0016471,33.966,138.24,124.55
0.0010294,-0.14168,0.98991,-0.72554,-2,0.016043,0.012719,-0.83396,-0.10846,0.5,0.00049435,4.3866e-05,0.14726,0.11601,0.019258,0.00029709,8.9634e-05,4.5312e-05,0.10337,0.029589,0.0013591,-46.421,0,146.78
0.00041183,-0.16557,0.9862,-0.69574,-1.9731,0.019891,0.013237,-0.71057,-0.09834,0.5,0.00044075,6.9915e-05,0.13911,0.066774,0.022106,0.00028034,6.3001e-05,5.3513e-05,0.059787,0.026137,0.0015714,42.829,108.42,166.89
-5.3398e-05,-0.17236,0.98503,-0.69573,-1.9418,0.025871,0.013421,-0.61,-0.060766,0.5,7.6338e-05,-5.3424e-06,0.15129,0.079694,0.033804,0.00030588,7.8447e-05,6.2162e-05,0.020882,0.018781,0.0015913,33.977,138.19,124.38
0.0011624,-0.14302,0.98972,-0.69575,-2,0.015997,0.013264,-0.83344,-0.10865,0.5,0.00090709,0.00013024,0.13042,0.095558,0.014147,0.00026562,0.00010055,4.9265e-05,0.10053,0.028935,0.0013253,-46.23,0,146.81
0.00060906,-0.16643,0.98605,-0.66595,-1.9733,0.01986,0.013771,-0.70991,-0.098553,0.5,0.00052813,0.00012575,0.11854,0.057735,0.020702,0.00024199,5.7595e-05,5.8885e-05,0.059937,0.025971,0.0015235,42.833,108.26,166.62
0.00017378,-0.17281,0.98496,-0.66594,-1.9418,0.02587,0.013924,-0.60863,-0.060384,0.5,0.00011808,3.8461e-05,0.13114,0.07068,0.035027,0.00026577,6.5247e-05,7.1834e-05,0.021126,0.018602,0.0015362,33.977,138.12,124.09
0.0014073,-0.14442,0.98952,-0.66596,-2,0.015945,0.01384,-0.83269,-0.10879,0.5,0.00099797,0.00017504,0.11139,0.089442,0.011363,0.0002293,0.00010763,4.8897e-05,0.099763,0.028656,0.0012893,-46.017,0,146.71
0.00092387,-0.17021,0.98541,-0.63616,-1.9734,0.019822,0.01422,-0.7087,-0.098701,0.5,0.00044707,0.00012234,0.09914,0.069506,0.021941,0.00020406,6.8165e-05,5.7822e-05,0.061943,0.026271,0.0014738,42.841,108.08,166.13
0.00058349,-0.17758,0.98411,-0.63613,-1.9417,0.025871,0.014297,-0.60645,-0.059807,0.5,0.0001175,4.935e-05,0.10961,0.077006,0.034909,0.0002262,6.0783e-05,6.9673e-05,0.022238,0.018824,0.0014839,33.97,138.04,123.58
0.001728,-0.14596,0.98929,-0.63617,-2,0.015883,0.014369,-0.83135,-0.10887,0.5,0.00078484,0.00015312,0.094314,0.11063,0.016669,0.00019369,0.00011711,4.8893e-05,0.10152,0.028806,0.00125,-45.771,0,146.38
0.0014078,-0.15963,0.98718,-0.60631,-1.9419,0.025816,0.014278,-0.60392,-0.059465,0.5,9.2533e-05,3.4724e-05,0.088318,0.10194,0.036422,0.00018574,6.5352e-05,6.6502e-05,0.024509,0.019418,0.00143,34.255,137.78,123.12
0.0019913,-0.084325,0.99644,-0.60631,-1.9413,0.025876,0.01427,-0.6031,-0.058973,0.5,9.152e-05,3.4513e-05,0.088469,0.10214,0.03644,0.00018594,6.4955e-05,6.6484e-05,0.024248,0.019357,0.0014296,34.098,138.19,122.71
0.0011918,-0.11891,0.9929,-0.62758,-1.9417,0.025873,0.014291,-0.6055,-0.059581,0.5,0.00010962,4.4889e-05,0.10356,0.084283,0.03539,0.00021467,6.2171e-05,6.8792e-05,0.022795,0.018967,0.001468,33.971,138.02,123.36
0.0014851,-0.16805,0.98578,-0.60635,-1.9735,0.019773,0.014338,-0.70682,-0.098774,0.5,0.00030609,8.415e-05,0.080632,0.094493,0.02741,0.00016477,7.9893e-05,5.6857e-05,0.065581,0.026914,0.0014198,42.876,107.88,165.4
0.0020859,-0.14763,0.98904,-0.60638,-2,0.015807,0.0146,-0.82939,-0.10882,0.5,0.00049468,0.00010049,0.077648,0.13632,0.026071,0.00015753,0.00012127,5.112e-05,0.10521,0.02926,0.0012086,-45.477,0,145.8
0.0022271,-0.14279,0.98975,-0.57645,-1.9422,0.025711,0.013732,-0.60091,-0.059189,0.5,6.1484e-05,1.7078e-05,0.063538,0.13769,0.03795,0.00013262,8.2887e-05,6.3757e-05,0.027468,0.020052,0.0013633,34.83,137.42,122.69
0.0025762,-0.082989,0.99655,-0.57644,-1.9403,0.025888,0.013699,-0.59844,-0.057701,0.5,5.9684e-05,1.6774e-05,0.063837,0.1385,0.037976,0.00013313,8.1581e-05,6.3771e-05,0.026658,0.019867,0.0013625,34.386,138.61,121.49
0.0018861,-0.1685,0.9857,-0.57653,-1.9737,0.019708,0.013958,-0.70444,-0.098728,0.5,0.00018591,4.7146e-05,0.058865,0.12827,0.031861,0.0001181,9.8214e-05,5.4052e-05,0.069891,0.027583,0.001356,42.954,107.66,164.5
0.002319,-0.14914,0.98881,-0.57657,-2,0.015724,0.014327,-0.82697,-0.10865,0.5,0.00027331,5.4994e-05,0.057615,0.16758,0.032772,0.00011629,0.00013646,5.0286e-05,0.10919,0.029725,0.0011635,-45.175,0,144.96
0.0026648,-0.1414,0.98995,-0.54651,-1.9425,0.025588,0.012648,-0.59739,-0.058748,0.5,3.6908e-05,5.2371e-06,0.041903,0.18559,0.038361,8.613e-05,0.00011994,5.816e-05,0.030256,0.020279,0.0012696,35.636,137.08,122.29
0.0028626,-0.081339,0.99668,-0.5465,-1.939,0.02592,0.012566,-0.5926,-0.055822,0.5,3.4885e-05,4.9821e-06,0.042247,0.18715,0.038404,8.7028e-05,0.00011681,5.8414e-05,0.028655,0.019919,0.0012687,34.832,139.31,120.04
0.0020767,-0.1687,0.98566,-0.54664,-1.9738,0.019631,0.012957,-0.70179,-0.098574,0.5,0.00010895,2.4018e-05,0.039557,0.17722,0.034502,7.9714e-05,0.00013558,4.9622e-05,0.073346,0.027835,0.0012714,43.104,107.47,163.52
0.0024251,-0.15022,0.98865,-0.54673,-2,0.015642,0.013352,-0.82434,-0.10837,0.5,0.00014184,2.7686e-05,0.038937,0.21961,0.038173,8.1478e-05,0.00017535,4.7875e-05,0.11105,0.029751,0.0011039,-44.895,0,143.96
0.0029391,-0.13964,0.9902,-0.51645,-1.9427,0.025463,0.010932,-0.59349,-0.058186,0.5,1.7457e-05,-3.1355e-06,0.025425,0.2359,0.037941,5.112e-05,0.0001606,5.3226e-05,0.031958,0.019626,0.0011296,36.756,136.87,122
